Team,Order,Name,1R,2R,3R,2-Total,4R,5R,3-Total,6R,7R,4-Total,,8S,8R,9R,5-Total,合計時間,週数,
T01,21,泉州商会跑团,0:34:26,0:21:48,0:22:10,0:43:58,0:27:03,0:25:18,0:52:21,0:30:42,0:29:13,0:59:55,繰上,12:00:01,0:25:38,0:27:51,0:53:29,4:04:09,9,
T02,1,南千住正能量1,0:22:14,0:19:48,0:20:00,0:39:48,0:20:35,0:21:29,0:42:04,0:19:06,0:19:34,0:38:40,,11:22:50,0:19:02,0:19:41,0:38:43,3:01:29,9,
T03,4,南千住正能量2,0:22:52,0:20:23,0:20:59,0:41:22,0:22:25,0:23:33,0:45:58,0:21:50,0:22:58,0:44:48,,11:35:04,0:21:16,0:22:42,0:43:58,3:18:58,9,
T04,18,南千住正能量3,0:31:47,0:27:22,0:29:20,0:56:42,0:23:15,0:23:19,0:46:34,0:26:34,0:28:41,0:55:15,繰上,12:00:01,0:22:04,0:22:39,0:44:43,3:55:01,9,
T05,5,南千住正能量4,0:23:36,0:22:46,0:23:37,0:46:23,0:21:08,0:21:45,0:42:53,0:23:00,0:23:25,0:46:25,,11:39:21,0:22:07,0:22:37,0:44:44,3:24:01,9,
T06,13,西葛西乐跑部落,0:26:26,0:23:31,0:23:23,0:46:54,0:27:21,0:26:38,0:53:59,0:26:37,0:21:41,0:48:18,,11:55:41,0:21:38,0:21:46,0:43:24,3:39:01,9,
T07,3,菜鸟飞奔,0:22:35,0:20:33,0:21:49,0:42:22,0:20:44,0:22:02,0:42:46,0:20:53,0:22:18,0:43:11,,11:30:58,0:20:30,0:21:33,0:42:03,3:12:57,9,
T08,12,菜鸟飞雪,0:24:54,0:23:51,0:24:54,0:48:45,0:23:48,0:25:04,0:48:52,0:22:30,0:22:38,0:45:08,,11:47:43,0:23:09,0:25:14,0:48:23,3:36:02,9,
T09,20,菜鸟山友,0:26:29,0:25:12,0:26:37,0:51:49,0:22:25,0:23:00,0:45:25,0:30:49,0:33:46,1:04:35,繰上,12:00:01,0:25:41,0:26:35,0:52:16,4:00:34,9,
T10,19,菜鸟无影,0:28:32,0:32:26,0:32:47,1:05:13,0:25:47,0:28:45,0:54:32,0:21:57,0:23:19,0:45:16,,12:13:37,0:23:09,0:23:11,0:46:20,3:59:53,9,繰上無
T11,6,菜鸟OMM,0:26:52,0:23:21,0:26:14,0:49:35,0:22:40,0:24:01,0:46:41,0:22:08,0:22:22,0:44:30,,11:47:42,0:19:55,0:21:03,0:40:58,3:28:36,9,
T12,2,黑龙江1队,0:22:31,0:19:21,0:21:02,0:40:23,0:21:17,0:21:58,0:43:15,0:20:38,0:21:40,0:42:18,,11:28:31,0:18:45,0:19:19,0:38:04,3:06:31,9,
T13,6,黑龙江2队,0:26:46,0:22:38,0:23:10,0:45:48,0:21:53,0:21:49,0:43:42,0:24:27,0:24:40,0:49:07,,11:45:27,0:21:08,0:22:05,0:43:13,3:28:36,9,
T14,14,Chapter two,0:26:43,0:23:18,0:24:59,0:48:17,0:28:42,0:33:51,1:02:33,0:24:24,0:25:34,0:49:58,繰上,12:00:01,0:21:06,0:21:05,0:42:11,3:49:42,9,
T16,22,华人龙舟队,0:25:18,0:25:55,0:26:59,0:52:54,0:33:01,0:33:27,1:06:28,0:25:18,0:27:12,0:52:30,繰上,12:00:01,0:27:32,0:29:51,0:57:23,4:14:33,9,繰上用確認
T17,16,武汉大学队,0:26:48,0:20:42,0:20:53,0:41:35,0:26:15,0:33:01,0:59:16,0:23:52,0:25:58,0:49:50,,11:57:33,0:25:57,0:30:00,0:55:57,3:53:26,8,
T18,23,珈士文艺超跑队,0:34:54,0:22:41,0:23:04,0:45:45,0:31:23,0:34:59,1:06:22,0:34:46,0:38:38,1:13:24,繰上,12:00:01,0:27:32,0:25:57,0:53:29,4:33:54,7,
T19,10,巍巍南开,0:27:54,0:21:13,0:21:27,0:42:40,0:22:24,0:24:09,0:46:33,0:23:40,0:24:46,0:48:26,,11:45:37,0:23:58,0:25:19,0:49:17,3:34:50,9,
T20,11,禁烟黑龙队南征北战,0:27:32,0:22:03,0:22:57,0:45:00,0:24:56,0:27:36,0:52:32,0:22:08,0:22:56,0:45:04,,11:50:12,0:22:31,0:22:26,0:44:57,3:35:05,9,
T21,24,禁烟健乐队南征北战,0:30:09,0:30:26,0:33:06,1:03:32,0:35:30,0:35:30,1:11:00,0:26:42,0:28:04,0:54:46,繰上,12:00:01,0:30:57,0:36:46,1:07:43,4:47:10,9,
